使用时间,令牌名称,模型名称,提示令牌,完成令牌,配额消耗,耗时
2025-09-27 11:18:16,Netflixbuddy,gpt-4o-mini,1021,22,$0.000168,180 秒
2025-09-27 11:17:58,Netflixbuddy,gpt-4o-mini,988,21,$0.000162,179 秒
2025-09-27 11:17:52,Netflixbuddy,gpt-4o-mini,1125,18,$0.000180,159 秒
2025-09-27 11:16:52,Netflixbuddy,gpt-4o-mini,872,19,$0.000144,179 秒
2025-09-27 11:16:32,Netflixbuddy,gpt-4o-mini,805,19,$0.000134,180 秒
2025-09-27 11:15:52,Netflixbuddy,gpt-4o-mini,964,24,$0.000160,1 秒
2025-09-27 11:15:50,Netflixbuddy,gpt-4o-mini,1012,20,$0.000164,2 秒
2025-09-27 11:15:47,Netflixbuddy,gpt-4o-mini,1118,25,$0.000184,0 秒
2025-09-27 11:15:46,Netflixbuddy,gpt-4o-mini,802,14,$0.000130,7 秒
2025-09-27 11:15:39,Netflixbuddy,gpt-4o-mini,969,18,$0.000158,1 秒
2025-09-27 11:15:38,Netflixbuddy,gpt-4o-mini,1144,19,$0.000184,0 秒
2025-09-27 11:15:37,Netflixbuddy,gpt-4o-mini,803,20,$0.000134,1 秒
2025-09-27 11:15:37,Netflixbuddy,gpt-4o-mini,946,22,$0.000156,1 秒
2025-09-27 11:15:36,Netflixbuddy,gpt-4o-mini,1119,18,$0.000180,0 秒
2025-09-27 11:15:35,Netflixbuddy,gpt-4o-mini,841,21,$0.000140,1 秒
2025-09-27 11:15:35,Netflixbuddy,gpt-4o-mini,947,20,$0.000156,1 秒
2025-09-27 11:15:35,Netflixbuddy,gpt-4o-mini,1005,18,$0.000162,2 秒
2025-09-27 11:15:33,Netflixbuddy,gpt-4o-mini,828,19,$0.000136,1 秒
2025-09-27 11:15:33,Netflixbuddy,gpt-4o-mini,780,19,$0.000130,1 秒
2025-09-27 11:15:32,Netflixbuddy,gpt-4o-mini,968,23,$0.000160,1 秒
2025-09-27 11:15:31,Netflixbuddy,gpt-4o-mini,822,18,$0.000136,1 秒
2025-09-27 11:15:31,Netflixbuddy,gpt-4o-mini,818,20,$0.000136,2 秒
2025-09-27 11:15:30,Netflixbuddy,gpt-4o-mini,973,19,$0.000158,1 秒
2025-09-27 11:15:30,Netflixbuddy,gpt-4o-mini,827,20,$0.000138,2 秒
2025-09-27 11:15:29,Netflixbuddy,gpt-4o-mini,1024,21,$0.000168,1 秒
2025-09-27 11:15:29,Netflixbuddy,gpt-4o-mini,999,19,$0.000162,2 秒
2025-09-27 11:15:28,Netflixbuddy,gpt-4o-mini,852,19,$0.000140,1 秒
2025-09-27 11:15:28,Netflixbuddy,gpt-4o-mini,828,23,$0.000138,2 秒
2025-09-27 11:15:27,Netflixbuddy,gpt-4o-mini,1021,26,$0.000170,1 秒
2025-09-27 11:15:27,Netflixbuddy,gpt-4o-mini,1162,15,$0.000184,1 秒
2025-09-27 11:15:26,Netflixbuddy,gpt-4o-mini,921,21,$0.000152,1 秒
2025-09-27 11:15:26,Netflixbuddy,gpt-4o-mini,1098,21,$0.000178,1 秒
2025-09-27 11:15:26,Netflixbuddy,gpt-4o-mini,982,21,$0.000160,1 秒
2025-09-27 11:15:26,Netflixbuddy,gpt-4o-mini,876,21,$0.000144,1 秒
2025-09-27 11:15:26,Netflixbuddy,gpt-4o-mini,833,17,$0.000136,2 秒
2025-09-27 11:15:25,Netflixbuddy,gpt-4o-mini,1164,20,$0.000188,1 秒
2025-09-27 11:15:25,Netflixbuddy,gpt-4o-mini,867,17,$0.000142,1 秒
2025-09-27 11:15:25,Netflixbuddy,gpt-4o-mini,968,17,$0.000156,2 秒
2025-09-27 11:15:24,Netflixbuddy,gpt-4o-mini,1125,17,$0.000180,1 秒
2025-09-27 11:15:24,Netflixbuddy,gpt-4o-mini,932,18,$0.000152,1 秒
2025-09-27 11:15:24,Netflixbuddy,gpt-4o-mini,855,17,$0.000140,2 秒
2025-09-27 11:15:23,Netflixbuddy,gpt-4o-mini,1122,20,$0.000182,1 秒
2025-09-27 11:15:23,Netflixbuddy,gpt-4o-mini,845,17,$0.000138,2 秒
2025-09-27 11:15:23,Netflixbuddy,gpt-4o-mini,1032,21,$0.000168,1 秒
2025-09-27 11:15:23,Netflixbuddy,gpt-4o-mini,800,13,$0.000128,2 秒
2025-09-27 11:15:22,Netflixbuddy,gpt-4o-mini,1149,14,$0.000182,0 秒
2025-09-27 11:15:22,Netflixbuddy,gpt-4o-mini,851,19,$0.000140,1 秒
2025-09-27 11:15:22,Netflixbuddy,gpt-4o-mini,976,18,$0.000158,1 秒
2025-09-27 11:15:21,Netflixbuddy,gpt-4o-mini,839,18,$0.000138,1 秒
2025-09-27 11:15:21,Netflixbuddy,gpt-4o-mini,1138,17,$0.000182,2 秒
2025-09-27 11:15:20,Netflixbuddy,gpt-4o-mini,1049,22,$0.000172,1 秒
2025-09-27 11:15:20,Netflixbuddy,gpt-4o-mini,989,20,$0.000162,1 秒
2025-09-27 11:15:20,Netflixbuddy,gpt-4o-mini,1148,18,$0.000184,1 秒
2025-09-27 11:15:19,Netflixbuddy,gpt-4o-mini,889,15,$0.000144,1 秒
2025-09-27 11:15:19,Netflixbuddy,gpt-4o-mini,825,16,$0.000134,1 秒
2025-09-27 11:15:19,Netflixbuddy,gpt-4o-mini,1032,19,$0.000168,1 秒
2025-09-27 11:15:19,Netflixbuddy,gpt-4o-mini,1008,18,$0.000162,1 秒
2025-09-27 11:15:19,Netflixbuddy,gpt-4o-mini,876,20,$0.000144,1 秒
2025-09-27 11:15:18,Netflixbuddy,gpt-4o-mini,873,20,$0.000144,0 秒
2025-09-27 11:15:18,Netflixbuddy,gpt-4o-mini,1167,18,$0.000186,1 秒
2025-09-27 11:15:17,Netflixbuddy,gpt-4o-mini,1184,17,$0.000188,1 秒
2025-09-27 11:15:17,Netflixbuddy,gpt-4o-mini,1013,18,$0.000164,1 秒
2025-09-27 11:15:16,Netflixbuddy,gpt-4o-mini,976,18,$0.000158,1 秒
2025-09-27 11:15:16,Netflixbuddy,gpt-4o-mini,871,18,$0.000142,1 秒
2025-09-27 11:15:15,Netflixbuddy,gpt-4o-mini,889,20,$0.000146,1 秒
2025-09-27 11:15:15,Netflixbuddy,gpt-4o-mini,1161,14,$0.000184,1 秒
2025-09-27 11:15:15,Netflixbuddy,gpt-4o-mini,1052,19,$0.000170,1 秒
2025-09-27 11:15:15,Netflixbuddy,gpt-4o-mini,1166,20,$0.000188,2 秒
2025-09-27 11:15:14,Netflixbuddy,gpt-4o-mini,873,19,$0.000144,1 秒
2025-09-27 11:15:14,Netflixbuddy,gpt-4o-mini,967,21,$0.000158,2 秒
2025-09-27 11:15:14,Netflixbuddy,gpt-4o-mini,833,16,$0.000136,1 秒
2025-09-27 11:15:13,Netflixbuddy,gpt-4o-mini,948,21,$0.000156,0 秒
2025-09-27 11:15:13,Netflixbuddy,gpt-4o-mini,1000,18,$0.000162,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,969,22,$0.000160,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,1089,19,$0.000176,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,973,20,$0.000158,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,1151,21,$0.000186,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,1105,19,$0.000178,1 秒
2025-09-27 11:15:12,Netflixbuddy,gpt-4o-mini,843,18,$0.000138,2 秒
2025-09-27 11:15:11,Netflixbuddy,gpt-4o-mini,834,20,$0.000138,1 秒
2025-09-27 11:15:11,Netflixbuddy,gpt-4o-mini,814,16,$0.000132,1 秒
2025-09-27 11:15:11,Netflixbuddy,gpt-4o-mini,951,17,$0.000154,1 秒
2025-09-27 11:15:11,Netflixbuddy,gpt-4o-mini,850,21,$0.000142,2 秒
2025-09-27 11:15:10,Netflixbuddy,gpt-4o-mini,984,20,$0.000160,1 秒
2025-09-27 11:15:10,Netflixbuddy,gpt-4o-mini,1022,16,$0.000164,1 秒
2025-09-27 11:15:10,Netflixbuddy,gpt-4o-mini,988,19,$0.000160,1 秒
2025-09-27 11:15:10,Netflixbuddy,gpt-4o-mini,1100,24,$0.000180,2 秒
2025-09-27 11:15:10,Netflixbuddy,gpt-4o-mini,973,21,$0.000160,1 秒
2025-09-27 11:15:09,Netflixbuddy,gpt-4o-mini,1125,19,$0.000182,1 秒
2025-09-27 11:15:09,Netflixbuddy,gpt-4o-mini,837,23,$0.000140,1 秒
2025-09-27 11:15:09,Netflixbuddy,gpt-4o-mini,1152,17,$0.000184,2 秒
2025-09-27 11:15:09,Netflixbuddy,gpt-4o-mini,910,21,$0.000150,2 秒
2025-09-27 11:15:08,Netflixbuddy,gpt-4o-mini,799,21,$0.000134,1 秒
2025-09-27 11:15:08,Netflixbuddy,gpt-4o-mini,927,21,$0.000152,1 秒
2025-09-27 11:15:08,Netflixbuddy,gpt-4o-mini,770,18,$0.000128,1 秒
2025-09-27 11:15:07,Netflixbuddy,gpt-4o-mini,824,23,$0.000138,1 秒
2025-09-27 11:15:07,Netflixbuddy,gpt-4o-mini,976,21,$0.000160,2 秒
2025-09-27 11:15:07,Netflixbuddy,gpt-4o-mini,794,21,$0.000132,0 秒
2025-09-27 11:15:06,Netflixbuddy,gpt-4o-mini,1083,18,$0.000174,1 秒
2025-09-27 11:15:06,Netflixbuddy,gpt-4o-mini,930,18,$0.000152,1 秒
2025-09-27 11:15:06,Netflixbuddy,gpt-4o-mini,1098,20,$0.000178,2 秒
2025-09-27 11:15:05,Netflixbuddy,gpt-4o-mini,762,14,$0.000124,1 秒
2025-09-27 11:15:05,Netflixbuddy,gpt-4o-mini,778,22,$0.000130,1 秒
2025-09-27 11:15:05,Netflixbuddy,gpt-4o-mini,803,22,$0.000134,2 秒
2025-09-27 11:15:05,Netflixbuddy,gpt-4o-mini,924,20,$0.000152,1 秒
2025-09-27 11:15:04,Netflixbuddy,gpt-4o-mini,839,19,$0.000138,1 秒
2025-09-27 11:15:04,Netflixbuddy,gpt-4o-mini,984,19,$0.000160,1 秒
2025-09-27 11:15:03,Netflixbuddy,gpt-4o-mini,950,22,$0.000156,2 秒
2025-09-27 11:15:03,Netflixbuddy,gpt-4o-mini,1105,18,$0.000178,1 秒
2025-09-27 11:15:03,Netflixbuddy,gpt-4o-mini,1108,17,$0.000178,1 秒
2025-09-27 11:15:03,Netflixbuddy,gpt-4o-mini,802,20,$0.000134,1 秒
2025-09-27 11:15:02,Netflixbuddy,gpt-4o-mini,1122,18,$0.000180,1 秒
2025-09-27 11:15:02,Netflixbuddy,gpt-4o-mini,946,22,$0.000156,1 秒
2025-09-27 11:15:01,Netflixbuddy,gpt-4o-mini,1085,23,$0.000178,1 秒
2025-09-27 11:15:00,Netflixbuddy,gpt-4o-mini,809,25,$0.000138,2 秒
2025-09-27 11:15:00,Netflixbuddy,gpt-4o-mini,828,19,$0.000136,1 秒
2025-09-27 11:15:00,Netflixbuddy,gpt-4o-mini,952,24,$0.000158,1 秒
2025-09-27 11:15:00,Netflixbuddy,gpt-4o-mini,1008,19,$0.000164,2 秒
2025-09-27 11:14:59,Netflixbuddy,gpt-4o-mini,1134,22,$0.000184,1 秒
2025-09-27 11:14:59,Netflixbuddy,gpt-4o-mini,835,18,$0.000138,1 秒
2025-09-27 11:14:59,Netflixbuddy,gpt-4o-mini,1155,21,$0.000186,1 秒
2025-09-27 11:14:58,Netflixbuddy,gpt-4o-mini,1108,18,$0.000178,1 秒
2025-09-27 11:14:58,Netflixbuddy,gpt-4o-mini,970,24,$0.000160,1 秒
2025-09-27 11:14:58,Netflixbuddy,gpt-4o-mini,980,22,$0.000162,1 秒
2025-09-27 11:14:58,Netflixbuddy,gpt-4o-mini,942,22,$0.000156,2 秒
2025-09-27 11:14:57,Netflixbuddy,gpt-4o-mini,1017,20,$0.000166,1 秒
2025-09-27 11:14:57,Netflixbuddy,gpt-4o-mini,810,21,$0.000136,1 秒
2025-09-27 11:14:57,Netflixbuddy,gpt-4o-mini,847,19,$0.000140,1 秒
2025-09-27 11:14:57,Netflixbuddy,gpt-4o-mini,824,17,$0.000134,1 秒
2025-09-27 11:14:57,Netflixbuddy,gpt-4o-mini,1137,20,$0.000184,2 秒
2025-09-27 11:14:56,Netflixbuddy,gpt-4o-mini,1140,20,$0.000184,1 秒
2025-09-27 11:14:56,Netflixbuddy,gpt-4o-mini,1001,19,$0.000162,0 秒
2025-09-27 11:14:56,Netflixbuddy,gpt-4o-mini,1120,22,$0.000182,1 秒
2025-09-27 11:14:56,Netflixbuddy,gpt-4o-mini,886,20,$0.000146,1 秒
2025-09-27 11:14:55,Netflixbuddy,gpt-4o-mini,1002,20,$0.000164,1 秒
2025-09-27 11:14:55,Netflixbuddy,gpt-4o-mini,870,21,$0.000144,1 秒
2025-09-27 11:14:55,Netflixbuddy,gpt-4o-mini,826,20,$0.000136,1 秒
2025-09-27 11:14:55,Netflixbuddy,gpt-4o-mini,1055,22,$0.000172,180 秒
2025-09-27 11:14:55,Netflixbuddy,gpt-4o-mini,999,25,$0.000166,2 秒
2025-09-27 11:14:54,Netflixbuddy,gpt-4o-mini,985,23,$0.000162,0 秒
2025-09-27 11:14:54,Netflixbuddy,gpt-4o-mini,1165,18,$0.000186,1 秒
2025-09-27 11:14:54,Netflixbuddy,gpt-4o-mini,1044,20,$0.000170,1 秒
2025-09-27 11:14:53,Netflixbuddy,gpt-4o-mini,1170,20,$0.000188,1 秒
2025-09-27 11:14:53,Netflixbuddy,gpt-4o-mini,896,18,$0.000146,1 秒
2025-09-27 11:14:53,Netflixbuddy,gpt-4o-mini,1025,21,$0.000168,1 秒
2025-09-27 11:14:53,Netflixbuddy,gpt-4o-mini,858,19,$0.000142,1 秒
2025-09-27 11:14:52,Netflixbuddy,gpt-4o-mini,1198,21,$0.000194,1 秒
2025-09-27 11:14:52,Netflixbuddy,gpt-4o-mini,994,21,$0.000162,1 秒
2025-09-27 11:14:52,Netflixbuddy,gpt-4o-mini,886,21,$0.000146,1 秒
2025-09-27 11:14:52,Netflixbuddy,gpt-4o-mini,864,22,$0.000144,1 秒
2025-09-27 11:14:51,Netflixbuddy,gpt-4o-mini,1030,23,$0.000170,1 秒
2025-09-27 11:14:51,Netflixbuddy,gpt-4o-mini,870,19,$0.000142,1 秒
2025-09-27 11:14:51,Netflixbuddy,gpt-4o-mini,1186,21,$0.000192,2 秒
2025-09-27 11:14:51,Netflixbuddy,gpt-4o-mini,1165,21,$0.000188,1 秒
2025-09-27 11:14:50,Netflixbuddy,gpt-4o-mini,889,22,$0.000148,1 秒
2025-09-27 11:14:50,Netflixbuddy,gpt-4o-mini,1205,18,$0.000192,1 秒
2025-09-27 11:14:50,Netflixbuddy,gpt-4o-mini,846,22,$0.000142,5 秒
2025-09-27 11:14:50,Netflixbuddy,gpt-4o-mini,879,17,$0.000144,1 秒
2025-09-27 11:14:49,Netflixbuddy,gpt-4o-mini,974,19,$0.000158,0 秒
2025-09-27 11:14:49,Netflixbuddy,gpt-4o-mini,1006,23,$0.000166,2 秒
2025-09-27 11:14:49,Netflixbuddy,gpt-4o-mini,1017,21,$0.000166,1 秒
2025-09-27 11:14:48,Netflixbuddy,gpt-4o-mini,835,16,$0.000136,2 秒
2025-09-27 11:14:48,Netflixbuddy,gpt-4o-mini,1139,19,$0.000184,2 秒
2025-09-27 11:14:48,Netflixbuddy,gpt-4o-mini,866,18,$0.000142,2 秒
2025-09-27 11:14:48,Netflixbuddy,gpt-4o-mini,870,20,$0.000144,0 秒
2025-09-27 11:14:46,Netflixbuddy,gpt-4o-mini,870,18,$0.000142,0 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,1016,21,$0.000166,0 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,1023,20,$0.000166,0 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,837,19,$0.000138,1 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,854,21,$0.000142,1 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,886,19,$0.000146,1 秒
2025-09-27 11:14:45,Netflixbuddy,gpt-4o-mini,1162,22,$0.000188,1 秒
2025-09-27 11:14:44,Netflixbuddy,gpt-4o-mini,957,20,$0.000156,179 秒
2025-09-27 11:14:44,Netflixbuddy,gpt-4o-mini,873,19,$0.000144,1 秒
2025-09-27 11:14:44,Netflixbuddy,gpt-4o-mini,1011,18,$0.000164,2 秒
2025-09-27 11:14:43,Netflixbuddy,gpt-4o-mini,1006,21,$0.000164,0 秒
2025-09-27 11:14:43,Netflixbuddy,gpt-4o-mini,841,21,$0.000140,1 秒
2025-09-27 11:14:43,Netflixbuddy,gpt-4o-mini,855,18,$0.000140,1 秒
2025-09-27 11:14:43,Netflixbuddy,gpt-4o-mini,850,21,$0.000142,1 秒
2025-09-27 11:14:41,Netflixbuddy,gpt-4o-mini,1134,17,$0.000182,0 秒
2025-09-27 11:14:41,Netflixbuddy,gpt-4o-mini,1016,22,$0.000166,1 秒
2025-09-27 11:14:41,Netflixbuddy,gpt-4o-mini,870,19,$0.000142,1 秒
2025-09-27 11:14:41,Netflixbuddy,gpt-4o-mini,874,18,$0.000142,2 秒
2025-09-27 11:14:40,Netflixbuddy,gpt-4o-mini,863,17,$0.000140,0 秒
2025-09-27 11:14:39,Netflixbuddy,gpt-4o-mini,835,19,$0.000138,1 秒
2025-09-27 11:14:39,Netflixbuddy,gpt-4o-mini,1151,19,$0.000186,0 秒
2025-09-27 11:14:38,Netflixbuddy,gpt-4o-mini,855,21,$0.000142,1 秒
2025-09-27 11:14:37,Netflixbuddy,gpt-4o-mini,1001,23,$0.000164,1 秒
2025-09-27 11:14:37,Netflixbuddy,gpt-4o-mini,997,20,$0.000162,1 秒
2025-09-27 11:14:37,Netflixbuddy,gpt-4o-mini,860,21,$0.000142,1 秒
2025-09-27 11:14:35,Netflixbuddy,gpt-4o-mini,899,18,$0.000146,0 秒
2025-09-27 11:14:35,Netflixbuddy,gpt-4o-mini,832,18,$0.000136,1 秒
2025-09-27 11:14:35,Netflixbuddy,gpt-4o-mini,1073,24,$0.000176,1 秒
2025-09-27 11:14:35,Netflixbuddy,gpt-4o-mini,837,17,$0.000136,1 秒
2025-09-27 11:14:34,Netflixbuddy,gpt-4o-mini,1007,21,$0.000164,2 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,802,20,$0.000134,2 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,921,18,$0.000150,1 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,919,21,$0.000152,1 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,825,20,$0.000136,1 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,1049,17,$0.000168,1 秒
2025-09-27 11:14:33,Netflixbuddy,gpt-4o-mini,1113,18,$0.000178,0 秒
2025-09-27 11:14:32,Netflixbuddy,gpt-4o-mini,826,20,$0.000136,2 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,960,19,$0.000156,1 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,754,16,$0.000124,1 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,970,20,$0.000158,5 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,929,17,$0.000150,1 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,891,16,$0.000144,1 秒
2025-09-27 11:14:31,Netflixbuddy,gpt-4o-mini,827,17,$0.000136,1 秒
2025-09-27 11:14:30,Netflixbuddy,gpt-4o-mini,1041,17,$0.000168,1 秒
2025-09-27 11:14:29,Netflixbuddy,gpt-4o-mini,1071,21,$0.000174,1 秒
2025-09-27 11:14:29,Netflixbuddy,gpt-4o-mini,858,20,$0.000142,1 秒
2025-09-27 11:14:29,Netflixbuddy,gpt-4o-mini,926,16,$0.000150,1 秒
2025-09-27 11:14:29,Netflixbuddy,gpt-4o-mini,824,15,$0.000134,1 秒
2025-09-27 11:14:29,Netflixbuddy,gpt-4o-mini,798,21,$0.000134,1 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,784,17,$0.000128,0 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,890,20,$0.000146,0 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,900,19,$0.000148,1 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,1128,21,$0.000182,1 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,814,17,$0.000134,1 秒
2025-09-27 11:14:27,Netflixbuddy,gpt-4o-mini,774,21,$0.000130,1 秒
2025-09-27 11:14:26,Netflixbuddy,gpt-4o-mini,804,18,$0.000132,1 秒
2025-09-27 11:14:26,Netflixbuddy,gpt-4o-mini,1041,22,$0.000170,1 秒
2025-09-27 11:14:26,Netflixbuddy,gpt-4o-mini,913,16,$0.000148,1 秒
2025-09-27 11:14:25,Netflixbuddy,gpt-4o-mini,912,15,$0.000146,0 秒
2025-09-27 11:14:25,Netflixbuddy,gpt-4o-mini,874,19,$0.000144,1 秒
2025-09-27 11:14:25,Netflixbuddy,gpt-4o-mini,810,18,$0.000134,1 秒
2025-09-27 11:14:25,Netflixbuddy,gpt-4o-mini,906,24,$0.000152,2 秒
2025-09-27 11:14:25,Netflixbuddy,gpt-4o-mini,949,21,$0.000156,1 秒
2025-09-27 11:14:24,Netflixbuddy,gpt-4o-mini,1042,18,$0.000168,1 秒
2025-09-27 11:14:24,Netflixbuddy,gpt-4o-mini,805,16,$0.000132,1 秒
2025-09-27 11:14:24,Netflixbuddy,gpt-4o-mini,766,18,$0.000126,0 秒
2025-09-27 11:14:24,Netflixbuddy,gpt-4o-mini,871,23,$0.000146,0 秒
2025-09-27 11:14:23,Netflixbuddy,gpt-4o-mini,965,19,$0.000158,1 秒
2025-09-27 11:14:23,Netflixbuddy,gpt-4o-mini,987,19,$0.000160,1 秒
2025-09-27 11:14:22,Netflixbuddy,gpt-4o-mini,856,22,$0.000142,1 秒
2025-09-27 11:14:22,Netflixbuddy,gpt-4o-mini,963,21,$0.000158,2 秒
2025-09-27 11:14:22,Netflixbuddy,gpt-4o-mini,1046,19,$0.000170,1 秒
2025-09-27 11:14:22,Netflixbuddy,gpt-4o-mini,1018,15,$0.000162,1 秒
2025-09-27 11:14:21,Netflixbuddy,gpt-4o-mini,792,20,$0.000132,2 秒
