使用时间,令牌名称,模型名称,提示令牌,完成令牌,配额消耗,耗时
2025-09-26 21:46:17,Netflixbuddy,gpt-4o-mini,1055,19,$0.000170,0 秒
2025-09-26 21:46:17,Netflixbuddy,gpt-4o-mini,1023,20,$0.000166,1 秒
2025-09-26 21:46:16,Netflixbuddy,gpt-4o-mini,1029,25,$0.000170,0 秒
2025-09-26 21:46:16,Netflixbuddy,gpt-4o-mini,1142,18,$0.000184,1 秒
2025-09-26 21:46:16,Netflixbuddy,gpt-4o-mini,1062,18,$0.000172,1 秒
2025-09-26 21:46:16,Netflixbuddy,gpt-4o-mini,1025,24,$0.000170,1 秒
2025-09-26 21:46:15,Netflixbuddy,gpt-4o-mini,1239,17,$0.000198,0 秒
2025-09-26 21:46:15,Netflixbuddy,gpt-4o-mini,1067,17,$0.000172,1 秒
2025-09-26 21:46:15,Netflixbuddy,gpt-4o-mini,1252,19,$0.000200,1 秒
2025-09-26 21:46:15,Netflixbuddy,gpt-4o-mini,1046,19,$0.000170,0 秒
2025-09-26 21:46:14,Netflixbuddy,gpt-4o-mini,1070,20,$0.000174,1 秒
2025-09-26 21:46:14,Netflixbuddy,gpt-4o-mini,1148,23,$0.000186,1 秒
2025-09-26 21:46:14,Netflixbuddy,gpt-4o-mini,1093,24,$0.000180,0 秒
2025-09-26 21:46:13,Netflixbuddy,gpt-4o-mini,1256,15,$0.000198,1 秒
2025-09-26 21:46:13,Netflixbuddy,gpt-4o-mini,1093,19,$0.000176,1 秒
2025-09-26 21:46:12,Netflixbuddy,gpt-4o-mini,1190,21,$0.000192,1 秒
2025-09-26 21:46:12,Netflixbuddy,gpt-4o-mini,1012,20,$0.000164,0 秒
2025-09-26 21:46:11,Netflixbuddy,gpt-4o-mini,1022,21,$0.000166,1 秒
2025-09-26 21:46:10,Netflixbuddy,gpt-4o-mini,1177,19,$0.000188,3 秒
2025-09-26 21:46:07,Netflixbuddy,gpt-4o-mini,1047,17,$0.000168,1 秒
2025-09-26 21:46:06,Netflixbuddy,gpt-4o-mini,1072,20,$0.000174,0 秒
2025-09-26 21:46:05,Netflixbuddy,gpt-4o-mini,1237,19,$0.000198,1 秒
2025-09-26 21:46:05,Netflixbuddy,gpt-4o-mini,1231,19,$0.000198,1 秒
2025-09-26 21:46:03,Netflixbuddy,gpt-4o-mini,1070,18,$0.000172,0 秒
2025-09-26 21:46:03,Netflixbuddy,gpt-4o-mini,1235,20,$0.000198,1 秒
2025-09-26 21:45:59,Netflixbuddy,gpt-4o-mini,1083,20,$0.000176,1 秒
2025-09-26 21:45:58,Netflixbuddy,gpt-4o-mini,1060,20,$0.000172,1 秒
2025-09-26 21:45:37,Netflixbuddy,gpt-4o-mini,1057,23,$0.000174,2 秒
2025-09-26 21:45:37,Netflixbuddy,gpt-4o-mini,1251,17,$0.000198,3 秒
2025-09-26 21:45:37,Netflixbuddy,gpt-4o-mini,1127,18,$0.000180,2 秒
2025-09-26 21:45:36,Netflixbuddy,gpt-4o-mini,1067,19,$0.000172,2 秒
2025-09-26 21:45:36,Netflixbuddy,gpt-4o-mini,1100,19,$0.000178,1 秒
2025-09-26 21:45:36,Netflixbuddy,gpt-4o-mini,1082,22,$0.000176,2 秒
2025-09-26 21:45:34,Netflixbuddy,gpt-4o-mini,1178,20,$0.000190,1 秒
2025-09-26 21:45:34,Netflixbuddy,gpt-4o-mini,1189,17,$0.000190,1 秒
2025-09-26 21:45:34,Netflixbuddy,gpt-4o-mini,1091,19,$0.000176,1 秒
2025-09-26 21:45:34,Netflixbuddy,gpt-4o-mini,1104,22,$0.000180,1 秒
2025-09-26 21:45:34,Netflixbuddy,gpt-4o-mini,1249,19,$0.000200,1 秒
2025-09-26 21:45:33,Netflixbuddy,gpt-4o-mini,1266,17,$0.000202,1 秒
2025-09-26 21:45:33,Netflixbuddy,gpt-4o-mini,1070,18,$0.000172,1 秒
2025-09-26 21:45:32,Netflixbuddy,gpt-4o-mini,1092,19,$0.000176,1 秒
2025-09-26 21:45:32,Netflixbuddy,gpt-4o-mini,1067,19,$0.000172,0 秒
2025-09-26 21:45:32,Netflixbuddy,gpt-4o-mini,1084,23,$0.000178,1 秒
2025-09-26 21:45:32,Netflixbuddy,gpt-4o-mini,1188,17,$0.000190,1 秒
2025-09-26 21:45:31,Netflixbuddy,gpt-4o-mini,1261,15,$0.000200,1 秒
2025-09-26 21:45:31,Netflixbuddy,gpt-4o-mini,1072,22,$0.000174,1 秒
2025-09-26 21:45:30,Netflixbuddy,gpt-4o-mini,1067,18,$0.000172,0 秒
2025-09-26 21:45:30,Netflixbuddy,gpt-4o-mini,1091,21,$0.000178,1 秒
2025-09-26 21:45:30,Netflixbuddy,gpt-4o-mini,1049,22,$0.000172,1 秒
2025-09-26 21:45:29,Netflixbuddy,gpt-4o-mini,1235,19,$0.000198,1 秒
2025-09-26 21:45:28,Netflixbuddy,gpt-4o-mini,1059,18,$0.000170,0 秒
2025-09-26 21:45:28,Netflixbuddy,gpt-4o-mini,995,25,$0.000166,1 秒
2025-09-26 21:45:27,Netflixbuddy,gpt-4o-mini,976,22,$0.000160,1 秒
2025-09-26 21:45:27,Netflixbuddy,gpt-4o-mini,1228,19,$0.000196,0 秒
2025-09-26 21:45:04,Netflixbuddy,gpt-4o-mini,1001,20,$0.000164,3 秒
2025-09-26 21:45:04,Netflixbuddy,gpt-4o-mini,1059,22,$0.000174,1 秒
2025-09-26 21:45:04,Netflixbuddy,gpt-4o-mini,1119,21,$0.000182,1 秒
2025-09-26 21:45:02,Netflixbuddy,gpt-4o-mini,1171,22,$0.000190,1 秒
2025-09-26 21:45:02,Netflixbuddy,gpt-4o-mini,1036,21,$0.000168,1 秒
2025-09-26 21:45:01,Netflixbuddy,gpt-4o-mini,991,20,$0.000162,0 秒
2025-09-26 21:45:01,Netflixbuddy,gpt-4o-mini,979,18,$0.000158,1 秒
2025-09-26 21:45:01,Netflixbuddy,gpt-4o-mini,1050,21,$0.000172,1 秒
2025-09-26 21:45:01,Netflixbuddy,gpt-4o-mini,1065,19,$0.000172,2 秒
2025-09-26 21:45:00,Netflixbuddy,gpt-4o-mini,961,20,$0.000158,0 秒
2025-09-26 21:45:00,Netflixbuddy,gpt-4o-mini,1049,21,$0.000170,1 秒
2025-09-26 21:45:00,Netflixbuddy,gpt-4o-mini,1005,22,$0.000164,1 秒
2025-09-26 21:45:00,Netflixbuddy,gpt-4o-mini,1218,19,$0.000196,1 秒
2025-09-26 21:44:59,Netflixbuddy,gpt-4o-mini,1034,18,$0.000166,1 秒
2025-09-26 21:44:59,Netflixbuddy,gpt-4o-mini,1009,19,$0.000164,1 秒
2025-09-26 21:44:59,Netflixbuddy,gpt-4o-mini,1016,19,$0.000164,1 秒
2025-09-26 21:44:59,Netflixbuddy,gpt-4o-mini,1192,17,$0.000190,2 秒
2025-09-26 21:44:58,Netflixbuddy,gpt-4o-mini,960,18,$0.000156,1 秒
2025-09-26 21:44:58,Netflixbuddy,gpt-4o-mini,1068,15,$0.000170,0 秒
2025-09-26 21:44:58,Netflixbuddy,gpt-4o-mini,1078,20,$0.000174,1 秒
2025-09-26 21:44:58,Netflixbuddy,gpt-4o-mini,1078,24,$0.000178,2 秒
2025-09-26 21:44:57,Netflixbuddy,gpt-4o-mini,994,19,$0.000162,1 秒
2025-09-26 21:44:57,Netflixbuddy,gpt-4o-mini,996,18,$0.000162,1 秒
2025-09-26 21:44:56,Netflixbuddy,gpt-4o-mini,1072,21,$0.000174,0 秒
2025-09-26 21:44:56,Netflixbuddy,gpt-4o-mini,1098,22,$0.000178,1 秒
